;2STE/HIS1009;HIS1009;1 gruppe;2STE;;Nei;
;;Historie vg2 studieforberedende utdanningsprogram;;;;;
;2STF/HIS1009;HIS1009;1 gruppe;2STF;;Nei;
;;Historie vg2 studieforberedende utdanningsprogram;;;;;
;2STG/HIS1009;HIS1009;1 gruppe;2STG;;Nei;
;;Historie vg2 studieforberedende utdanningsprogram;;;;;
;3STG/HIS1010;HIS1010;1 gruppe;3STG;;Nei;
;;Historie Vg3 studieforberedende utdanningsprogram;;;;;
;3STH/HIS1010;HIS1010;1 gruppe;3STH;;Nei;
;;Historie Vg3 studieforberedende utdanningsprogram;;;;;
;3STD/HIS1010;HIS1010;1 gruppe;3STD;;Nei;
;;Historie Vg3 studieforberedende utdanningsprogram;;;;;
;3STE/HIS1010;HIS1010;1 gruppe;3STE;;Nei;
;;Historie Vg3 studieforberedende utdanningsprogram;;;;;
;1STF/SAK1001;SAK1001;1 gruppe;1STF;;Nei;
;;Samfunnskunnskap;;;;;
;1STH/NOR1260;NOR1260;1 gruppe;1STH;;Nei;
;;Norsk, vg1 studieforberedende utdanningsprogram, skriftlig;;;;;
;1STB/NOR1260;NOR1260;1 gruppe;1STB;;Nei;
;;Norsk, vg1 studieforberedende utdanningsprogram, skriftlig;;;;;
;1STC/NOR1260;NOR1260;1 gruppe;1STC;;Nei;
;;Norsk, vg1 studieforberedende utdanningsprogram, skriftlig;;;;;
;1STD/NOR1260;NOR1260;1 gruppe;1STD;;Nei;
;;Norsk, vg1 studieforberedende utdanningsprogram, skriftlig;;;;;
;1STE/NOR1260;NOR1260;1 gruppe;1STE;;Nei;
;;Norsk, vg1 studieforberedende utdanningsprogram, skriftlig;;;;;
;1STF/KRO1017;KRO1017;1 gruppe;1STF;;Nei;
;;Kroppsøving vg1;;;;;
;1STG/SAK1001;SAK1001;1 gruppe;1STG;;Nei;
;;Samfunnskunnskap;;;;;
;1STH/SAK1001;SAK1001;1 gruppe;1STH;;Nei;
;;Samfunnskunnskap;;;;;
;1STC/SAK1001;SAK1001;1 gruppe;1STC;;Nei;
;;Samfunnskunnskap;;;;;
;1STD/SAK1001;SAK1001;1 gruppe;1STD;;Nei;
;;Samfunnskunnskap;;;;;
;1STE/SAK1001;SAK1001;1 gruppe;1STE;;Nei;
;;Samfunnskunnskap;;;;;
;1STF/NAT1007;NAT1007;1 gruppe;1STF;;Nei;
;;Naturfag vg1 studieforberedende utdanningsprogram;;;;;
;1STG/ENG1007;ENG1007;1 gruppe;1STG;;Nei;
;;Engelsk vg1 studieforberedende utdanningsprogram;;;;;
;1STE/NAT1007;NAT1007;1 gruppe;1STE;;Nei;
;;Naturfag vg1 studieforberedende utdanningsprogram;;;;;
;1MKA/NAT1007;NAT1007;1 gruppe;1MKA;;Nei;
;;Naturfag vg1 studieforberedende utdanningsprogram;;;;;
;2MEDA/MED2006;MED2006;1 gruppe;2MEDA;;Nei;
;;Konseptutvikling og kommunikasjon;;;;;
;2MEDA/MED2007;MED2007;1 gruppe;2MEDA;;Nei;
;;Design og visualisering;;;;;
;2MEDA/NOR1262;NOR1262;1 gruppe;2MEDA;;Nei;
;;Norsk, vg2 yrkesfaglige utdanningsprogram;;;;;
;2STA/HIS1009;HIS1009;1 gruppe;2STA;;Nei;
;;Historie vg2 studieforberedende utdanningsprogram;;;;;
;1STC/FSP6221;FSP6221;1 gruppe;1STC;;Nei;
;;Spansk II, 1. år;;;;;
;1STC/NAT1007;NAT1007;1 gruppe;1STC;;Nei;
;;Naturfag vg1 studieforberedende utdanningsprogram;;;;;
;1STH/NAT1007;NAT1007;1 gruppe;1STH;;Nei;
;;Naturfag vg1 studieforberedende utdanningsprogram;;;;;
;1MKA/KRO1017;KRO1017;1 gruppe;1MKA;;Nei;
;;Kroppsøving vg1;;;;;
;1STA/KRO1017;KRO1017;1 gruppe;1STA;;Nei;
